"","isolate","tri","fungicide","Estimate","Std..Error","Lower","Upper"
"1","18SG01ii","15ADON","Metconazole",0.0622650447562544,0.215180877486497,-0.386594400231173,0.511124489743681
"2","18SG09i","15ADON","Metconazole",0.0319421756597771,0.0993017726001769,-0.175197692232899,0.239082043552453
"3","18SG119i","15ADON","Metconazole",0.00714866813845606,0.00392472034750009,-0.0010381550471697,0.0153354913240818
"4","18SG11iv","15ADON","Metconazole",0.0330584947957742,0.0363440677153063,-0.0427539019833102,0.108870891574859
"5","18SG120i","15ADON","Metconazole",0.00235107212856977,0.00220370968171576,-0.00224578571587521,0.00694792997301475
"6","18SG12i","15ADON","Metconazole",0.00142599641491197,0.00840163097415265,-0.0160994986945872,0.0189514915244111
"7","18SG135ii","15ADON","Metconazole",0.0102487426019901,0.00600357851448303,-0.00227450273201221,0.0227719879359924
"8","18SG161i","15ADON","Metconazole",0.00102010542428448,0.0023121285405946,-0.00380291019677602,0.00584312104534499
"9","18SG180ii","15ADON","Metconazole",0.00712218637135841,0.022289052773029,-0.0393719629873599,0.0536163357300768
"10","18SG182i","15ADON","Metconazole",0.02005507130056,0.0245834595171602,-0.0312251266595762,0.0713352692606963
"11","18SG25iii","15ADON","Metconazole",0.127533918471633,0.0865373429864631,-0.0529798158216381,0.308047652764904
"12","18SG29i","15ADON","Metconazole",0.00256185842837683,0.0131328408288028,-0.0248327674992665,0.0299564843560202
"13","18SG34i","15ADON","Metconazole",0.00882838135566679,0.0239025165222609,-0.0410313944074379,0.0586881571187714
"14","18SG67i","15ADON","Metconazole",0.0277659253610901,0.0441692683292243,-0.0643695538661496,0.11990140458833
"15","18SG76iii","15ADON","Metconazole",0.0363855587298519,0.0288905675750483,-0.0238791092024633,0.0966502266621671
"16","18SG140i","3ADON","Metconazole",0.0158268169727803,0.051523904633437,-0.0916501647529817,0.123303798698542
"17","18SG140ii","3ADON","Metconazole",0.0197795622201368,0.0125815196547343,-0.00646502789069601,0.0460241523309696
"18","18SG145i","3ADON","Metconazole",0.00219779760484935,0.00252275245279807,-0.00306457179818773,0.00746016700788642
"19","18SG168i","3ADON","Metconazole",0.00856849185246102,0.0284216361852142,-0.0507180023413847,0.0678549860463068
"20","18SG168iii","3ADON","Metconazole",0.0114956418015358,0.0117635207947442,-0.0130426325874525,0.0360339161905241
"21","18SG168iv","3ADON","Metconazole",0.0699449270594311,0.0453187299988478,-0.0245882871946765,0.164478141313539
"22","18SG168v","3ADON","Metconazole",0.00927166223798234,0.00830736639908486,-0.00805720041355333,0.026600524889518
"23","18SG178ii","3ADON","Metconazole",0.0855164066113793,0.476291571039848,-0.908010400818576,1.07904321404133
"24","18SG178iii","3ADON","Metconazole",0.0133571558302574,0.00998272128288939,-0.00746643587009289,0.0341807475306076
"25","18SG20iii","3ADON","Metconazole",0.00720848999749998,0.00832355374862459,-0.0101541388734837,0.0245711188684836
"26","18SG20iv","3ADON","Metconazole",0.0243831437999472,0.0142188272506591,-0.00527681010791557,0.0540430977078099
"27","18SG74i","3ADON","Metconazole",0.00326444735296997,0.00236258470714403,-0.0016638179872018,0.00819271269314173
"28","18SG74iii","3ADON","Metconazole",0.00365179871690656,0.00146464510233519,0.000596602570218388,0.00670699486359472
"29","18SG84i","3ADON","Metconazole",0.00633158818841697,0.00298284444073918,0.00010948371615485,0.0125536926606791
"30","18SG94i","3ADON","Metconazole",0.00263143960679594,0.00447827064984051,-0.00671006927573491,0.0119729484893268
"31","18SG94iii","3ADON","Metconazole",0.00359724041546019,0.00309377639566312,-0.00285626405990701,0.0100507448908274
"32","18SG01ii","15ADON","Tebuconazole",0.0490968970095372,0.0509419104465166,-0.0571660661157875,0.155359860134862
"33","18SG09i","15ADON","Tebuconazole",0.0411442637132063,0.0204269947762298,-0.00146570072749979,0.0837542281539123
"34","18SG119i","15ADON","Tebuconazole",0.192946443074398,0.0586366258521925,0.07063258487572,0.315260301273076
"35","18SG11iv","15ADON","Tebuconazole",0.361574845533998,0.479611736844147,-0.638877706402588,1.36202739747058
"36","18SG120i","15ADON","Tebuconazole",0.0505182709852838,0.0874072100151488,-0.131809974133808,0.232846516104375
"37","18SG12i","15ADON","Tebuconazole",0.0144817708292778,0.0107722162374526,-0.00798867848809205,0.0369522201466477
"38","18SG135ii","15ADON","Tebuconazole",0.0649317180964748,0.0169671472139281,0.0295388692038421,0.100324566989108
"39","18SG161i","15ADON","Tebuconazole",0.0481164034116169,0.161301040790927,-0.288351671684197,0.384584478507431
"40","18SG180ii","15ADON","Tebuconazole",0.126179962320956,0.07751089729751,-0.0355049362064286,0.28786486084834
"41","18SG182i","15ADON","Tebuconazole",0.103463244833147,0.0749640058165881,-0.0529089311608812,0.259835420827175
"42","18SG25iii","15ADON","Tebuconazole",0.271484811052652,0.178607235420473,-0.101083353451664,0.644052975556968
"43","18SG29i","15ADON","Tebuconazole",0.0163821514070945,0.00716411894678044,0.00143806115224566,0.0313262416619433
